Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
GO_MICRO_RIBONUCLEOPROTEIN_COMPLEX	530	"A complex containing both protein and micro-RNA (miRNA) molecules. miRNAs are approximately 22 nucleotide noncoding RNAs derived from endogenous genes; they are processed from the stem of a longer hairpin like structure termed a pre-miRNA. [GOC:bf, PMID:14559182]"	37	0.0698	3.77E-13	3.77E-10
GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	1708	"The component of the plasma membrane consisting of the gene products and protein complexes having either part of their peptide sequence embedded in the hydrophobic region of the membrane or some other covalently attached group such as a GPI anchor that is similarly embedded in the membrane. [GOC:dos, GOC:mah]"	71	0.0416	2.17E-12	1.08E-09
GO_INTERMEDIATE_FILAMENT_CYTOSKELETON	248	"Cytoskeletal structure made from intermediate filaments, typically organized in the cytosol as an extended system that stretches from the nuclear envelope to the plasma membrane. Some intermediate filaments run parallel to the cell surface, while others traverse the cytosol; together they form an internal framework that helps support the shape and resilience of the cell. [ISBN:0716731363]"	23	0.0927	4.37E-11	1.46E-08
GO_KERATIN_FILAMENT	96	"A filament composed of acidic and basic keratins (types I and II), typically expressed in epithelial cells. The keratins are the most diverse classes of IF proteins, with a large number of keratin isoforms being expressed. Each type of epithelium always expresses a characteristic combination of type I and type II keratins. [ISBN:0716731363]"	14	0.1458	7.82E-10	1.96E-07
GO_PHOTORECEPTOR_OUTER_SEGMENT	83	"The outer segment of a vertebrate photoreceptor that contains discs of photoreceptive membranes. [GOC:cilia, ISBN:0824072820]"	13	0.1566	1.27E-09	2.54E-07
GO_SUPRAMOLECULAR_COMPLEX	946	"A cellular component that consists of an indeterminate number of proteins or macromolecular complexes, organized into a regular, higher-order structure such as a polymer, sheet, network or a fiber. [GOC:dos]"	44	0.0465	1.52E-09	2.54E-07
GO_PLASMA_MEMBRANE_REGION	1186	A membrane that is a (regional) part of the plasma membrane. [GOC:dos]	50	0.0422	3.02E-09	4.32E-07
GO_CELL_PROJECTION_MEMBRANE	341	The portion of the plasma membrane surrounding a plasma membrane bounded cell surface projection. [GOC:mah] {comment=GOC:krc}	24	0.0704	4.54E-09	5.68E-07
GO_NON_MOTILE_CILIUM	142	"A cilium which may have a variable array of axonemal microtubules but does not contain molecular motors. [GOC:cilia, GOC:dgh, GOC:kmv, PMID:17009929, PMID:20144998, PMID:22118931]"	15	0.1056	1.83E-08	2.03E-06
GO_APICAL_PLASMA_MEMBRANE	313	The region of the plasma membrane located at the apical end of the cell. [GOC:curators]	22	0.0703	2.04E-08	2.04E-06
GO_9PLUS0_NON_MOTILE_CILIUM	108	"A non-motile cilium where the axoneme has a ring of nine outer microtubule doublets but no central microtubules (and is therefore called a 9+0 axoneme). [GOC:cilia, PMID:22118931]"	13	0.1204	3.39E-08	3.08E-06
GO_PHOTORECEPTOR_DISC_MEMBRANE	23	"Ovally-shaped membranous stack located inside the photoreceptor outer segment, and containing densely packed molecules of the photoreceptor protein rhodopsin that traverse the lipid bilayer. Disc membranes are apparently derived from the plasma membrane in the region of the cilium that connects the photoreceptor outer segment to the inner segment. [GOC:bj, PMID:11826267, PMID:2537204, PMID:7507907]"	7	0.3043	6.85E-08	5.66E-06
GO_CONTRACTILE_FIBER	229	"Fibers, composed of actin, myosin, and associated proteins, found in cells of smooth or striated muscle. [GOC:go_curators, ISBN:0815316194]"	18	0.0786	7.35E-08	5.66E-06
GO_APICAL_PART_OF_CELL	379	"The region of a polarized cell that forms a tip or is distal to a base. For example, in a polarized epithelial cell, the apical region has an exposed surface and lies opposite to the basal lamina that separates the epithelium from other tissue. [GOC:mah, ISBN:0815316194]"	23	0.0607	1.43E-07	1.02E-05
GO_NUCLEOLUS	1376	"A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome. [ISBN:0198506732]"	50	0.0363	3.07E-07	2.05E-05
GO_CILIARY_MEMBRANE	91	"The portion of the plasma membrane surrounding a cilium. [GOC:cilia, GOC:dph, GOC:rph]"	11	0.1209	3.68E-07	2.30E-05
GO_I_BAND	136	"A region of a sarcomere that appears as a light band on each side of the Z disc, comprising a region of the sarcomere where thin (actin) filaments are not overlapped by thick (myosin) filaments; contains actin, troponin, and tropomyosin; each sarcomere includes half of an I band at each end. [ISBN:0321204131]"	13	0.0956	5.20E-07	3.06E-05
GO_ACTIN_CYTOSKELETON	491	"The part of the cytoskeleton (the internal framework of a cell) composed of actin and associated proteins. Includes actin cytoskeleton-associated complexes. [GOC:jl, ISBN:0395825172, ISBN:0815316194]"	24	0.0489	3.61E-06	2.01E-04
GO_CILIARY_PART	444	"Any constituent part of a cilium, a specialized eukaryotic organelle that consists of a filiform extrusion of the cell surface. Each cilium is bounded by an extrusion of the cytoplasmic (plasma) membrane, and contains a regular longitudinal array of microtubules, anchored basally in a centriole. [GOC:cilia, GOC:jl]"	22	0.0495	7.36E-06	3.88E-04
GO_TROPONIN_COMPLEX	9	"A complex of accessory proteins (typically troponin T, troponin I and troponin C) found associated with actin in muscle thin filaments; involved in calcium regulation of muscle contraction. [ISBN:0815316194]"	4	0.4444	9.11E-06	4.56E-04
GO_MYOSIN_COMPLEX	65	"A protein complex, formed of one or more myosin heavy chains plus associated light chains and other proteins, that functions as a molecular motor; uses the energy of ATP hydrolysis to move actin filaments or to move vesicles or other cargo on fixed actin filaments; has magnesium-ATPase activity and binds actin. Myosin classes are distinguished based on sequence features of the motor, or head, domain, but also have distinct tail regions that are believed to bind specific cargoes. [GOC:mah, http://www.mrc-lmb.cam.ac.uk/myosin/Review/Reviewframeset.html, ISBN:96235764]"	8	0.1231	1.27E-05	6.06E-04
GO_CYTOSKELETAL_PART	1650	"Any constituent part of the cytoskeleton, a cellular scaffolding or skeleton that maintains cell shape, enables some cell motion (using structures such as flagella and cilia), and plays important roles in both intra-cellular transport (e.g. the movement of vesicles and organelles) and cellular division. Includes constituent parts of intermediate filaments, microfilaments, microtubules, and the microtrabecular lattice. [GOC:jl]"	51	0.0309	2.21E-05	1.01E-03
GO_CELL_PROJECTION_PART	1440	"Any constituent part of a cell projection, a prolongation or process extending from a cell, e.g. a flagellum or axon. [GOC:jl]"	46	0.0319	2.55E-05	1.11E-03
GO_BRUSH_BORDER	96	"The dense covering of microvilli on the apical surface of a epithelial cells in tissues such as the intestine, kidney, and choroid plexus; the microvilli aid absorption by increasing the surface area of the cell. [GOC:sl, ISBN:0815316194]"	9	0.0938	3.43E-05	1.42E-03
GO_POLYMERIC_CYTOSKELETAL_FIBER	715	A component of the cytoskeleton consisting of a homo or heteropolymeric fiber constructed from an indeterminate number of protein subunits. [GOC:dos]	28	0.0392	3.54E-05	1.42E-03
GO_CELL_SURFACE	868	"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]"	31	0.0357	7.65E-05	2.94E-03
GO_MYOFILAMENT	32	Any of the smallest contractile units of a myofibril (striated muscle fiber). [Wikipedia:Myofilament]	5	0.1562	1.78E-04	6.60E-03
GO_CLUSTER_OF_ACTIN_BASED_CELL_PROJECTIONS	148	"A cell part consisting of multiple, closely packed actin-based cell projections. [GOC:dos]"	10	0.0676	2.05E-04	7.17E-03
GO_CILIUM	595	"A specialized eukaryotic organelle that consists of a filiform extrusion of the cell surface and of some cytoplasmic parts. Each cilium is largely bounded by an extrusion of the cytoplasmic (plasma) membrane, and contains a regular longitudinal array of microtubules, anchored to a basal body. [GOC:cilia, GOC:curators, GOC:kmv, GOC:vw, ISBN:0198547684, PMID:16824949, PMID:17009929, PMID:20144998]"	23	0.0387	2.08E-04	7.17E-03
GO_SARCOPLASMIC_RETICULUM_LUMEN	8	The volume enclosed by the membranes of the sarcoplasmic reticulum. [GOC:rph]	3	0.375	2.44E-04	8.15E-03
GO_NEUROMUSCULAR_JUNCTION	76	"The junction between the axon of a motor neuron and a muscle fiber. In response to the arrival of action potentials, the presynaptic button releases molecules of neurotransmitters into the synaptic cleft. These diffuse across the cleft and transmit the signal to the postsynaptic membrane of the muscle fiber, leading to a change in post-synaptic potential. [GOC:nln]"	7	0.0921	2.84E-04	9.18E-03
GO_ATPASE_DEPENDENT_TRANSMEMBRANE_TRANSPORT_COMPLEX	22	A transmembrane protein complex that functions in ATPase dependent active transport across a membrane. [GOC:dos]	4	0.1818	4.45E-04	1.39E-02
GO_MICROVILLUS	83	Thin cylindrical membrane-covered projections on the surface of an animal cell containing a core bundle of actin filaments. Present in especially large numbers on the absorptive surface of intestinal cells. [ISBN:0813516194]	7	0.0843	4.88E-04	1.48E-02
GO_CHOLINERGIC_SYNAPSE	10	A synapse that uses acetylcholine as a neurotransmitter. [GOC:dos]	3	0.3	5.11E-04	1.50E-02
GO_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE	377	"The leaflet of the plasma membrane that faces away from the cytoplasm and any proteins embedded or anchored in it or attached to its surface. [GOC:dos, GOC:tb]"	16	0.0424	6.97E-04	1.99E-02
GO_BRUSH_BORDER_MEMBRANE	50	The portion of the plasma membrane surrounding the brush border. [GOC:mah]	5	0.1	1.46E-03	4.07E-02
GO_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	406	"An extracellular matrix consisting mainly of proteins (especially collagen) and glycosaminoglycans (mostly as proteoglycans) that provides not only essential physical scaffolding for the cellular constituents but can also initiate crucial biochemical and biomechanical cues required for tissue morphogenesis, differentiation and homeostasis. The components are secreted by cells in the vicinity and form a sheet underlying or overlying cells such as endothelial and epithelial cells. [GOC:BHF, GOC:rph, PMID:21123617]"	16	0.0394	1.50E-03	4.07E-02
GO_SIDE_OF_MEMBRANE	566	A cellular component consisting of one leaflet of a membrane bilayer and any proteins embedded or anchored in it or attached to its surface. [GOC:dos]	20	0.0353	1.55E-03	4.09E-02
GO_TRANSPORTER_COMPLEX	335	"A protein complex facilitating transport of molecules (proteins, small molecules, nucleic acids) into, out of or within a cell, or between cells. [GOC:bhm, PMID:15449578]"	14	0.0418	1.69E-03	4.35E-02
