"","X","Chromosome","Start","End","Strand","Strand.1","AddressA","AddressB","Design","Color","Context","Random","HumanMethylation27","Mismatches.A","Mismatches.B","CGI.Relation","CpG","GC","SNPs.3","SNPs.5","SNPs.Full","Cross.reactive","ID"
"3","cg03130891","chr1",91550,91551,"-","-",32682468,32682468,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",2,38,1,1,3,3,"cg03130891"
"6","cg08477687","chr1",566570,566571,"+","+",55652450,55652450,"II","Both","CG",FALSE,FALSE,0,0,"Open Sea",5,56,1,1,1,1,"cg08477687"
"15","cg06402284","chr1",762592,762593,"-","-",10604362,10604362,"II","Both","CG",FALSE,FALSE,0,0,"Island",9,65,1,2,2,1,"cg06402284"
"16","cg20788133","chr1",765028,765029,"-","-",69795402,69795402,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",2,52,1,1,1,0,"cg20788133"
"17","cg09139287","chr1",787398,787399,"-","-",35719334,35719334,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",5,54,1,1,1,1,"cg09139287"
"24","cg23100540","chr1",805554,805555,"+","+",21688456,21688456,"II","Both","CG",FALSE,FALSE,1,0,"Island",7,60,1,1,1,0,"cg23100540"
"28","cg01062849","chr1",838731,838732,"+","+",44751484,44751484,"II","Both","CG",FALSE,FALSE,0,0,"North Shore",4,46,1,1,2,0,"cg01062849"
"42","cg02663945","chr1",861629,861630,"+","+",55652456,55652456,"II","Both","CG",FALSE,FALSE,0,0,"Island",7,67,1,1,1,0,"cg02663945"
"44","cg13692836","chr1",869368,869369,"-","-",52799475,36796417,"I","Red","CG",FALSE,FALSE,0,0,"Island",6,68,1,1,2,0,"cg13692836"
"46","cg06624358","chr1",870810,870811,"+","+",73629430,45778352,"I","Red","CG",FALSE,FALSE,0,0,"Island",5,66,1,1,1,0,"cg06624358"
"49","cg23112672","chr1",876199,876200,"-","-",36722414,36722414,"II","Both","CG",FALSE,FALSE,0,0,"Island",5,73,1,1,1,0,"cg23112672"
"59","cg03148373","chr1",898852,898853,"-","-",45810427,66725382,"I","Red","CG",FALSE,FALSE,0,0,"Island",6,68,1,1,1,0,"cg03148373"
"60","cg11246447","chr1",900424,900425,"+","+",66786484,66786484,"II","Both","CG",FALSE,FALSE,0,0,"Island",7,59,1,1,1,0,"cg11246447"
"65","cg26679367","chr1",907618,907619,"+","+",34639489,34639489,"II","Both","CG",FALSE,FALSE,0,0,"South Shore",5,72,0,1,1,0,"cg26679367"
